region,country_code,country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
Americas,ARG,Argentina,2019,pritty,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,muelita,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,savora,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,mil hojas,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,cada dia,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,melburn,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,lia,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,jaimito,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,legitimo,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,la fazenda,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,secco,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,serenisima,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,la cumbre,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,stella artois,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,paladini,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,jhonson,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,terrabusi,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,cepita,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,ALKA,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,brama,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,LA CUMBRE,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,La serenisima,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Bagley,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Lia,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,SIERRA DE LOS ANDES,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,SCHNEIDER,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Crowie,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,MALBORO,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,RENAULT,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,QUILMES,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,COLOSO,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,McDonald's Corporation,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Mogul,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Colgate-Palmolive,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Parle,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Cerealitas,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,PERVINOX,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Neval,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Sierra de los padres,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Kimberly-Clark,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,blem,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,BC,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,baggio,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,arcor,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,amodil,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Desconocida,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Eco de los andes,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Emery,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Agua de las misiones,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Felpita,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Amodil,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,URSELLA,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Twistos,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,GRANIX,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Tremblay,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Todo Dia,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,TRES LEONES,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Sussex,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,Kaiser,0,0,0,0,0,0,0,0,0,4,243
Americas,ARG,Argentina,2019,GUAYMALLEN,0,0,0,0,0,0,0,0,0,4,243
Western Pacific,AUS,Australia,2019,Woolworths Group,,,,,3,,,,3,1,5
Western Pacific,AUS,Australia,2019,Grand Total,,,,,3,,,,3,1,5
South-East Asia,BGD,Bangladesh,2019,Grand Total,0,,,16,,,,,16,1,100
South-East Asia,BGD,Bangladesh,2019,Danish,0,,,16,,,,,16,1,100
South-East Asia,BGD,Bangladesh,2019,Nestlé,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Unbranded,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Tiffin,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Sun light Battery,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,SMC,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Pulse,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Pran,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Perfetti van Melle,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,PepsiCo,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,PT Mayora Indah Tbk,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Olympic,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Bashundhara,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Benson and Hedges,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Milky Nuts,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Lexus,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Ispahani Green Tea,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Good Luck,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Fruit fun,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Fresh,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Derby,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Dairy Milk,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,CavinKare,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Bombay Sweets,0,,,0,,,,,0,1,100
South-East Asia,BGD,Bangladesh,2019,Mondelez International,0,,,0,,,,,0,1,100
Africa,BEN,Benin,2019,"Pure Water, Inc.",,,,,4988,,,,4988,1,2328
Africa,BEN,Benin,2019,Grand Total,,,,,4988,,,,4988,1,2328
South-East Asia,BTN,Bhutan,2019,Assorted,0,,,,3500,,,,3500,1,5300
