name,slug,value,date_of_information,ranking,region
"Israel","israel","$48,300","2023",45,"Middle East"
"Slovenia","slovenia","$48,100","2023",46,"Europe"
"Taiwan","taiwan","$47,800","2019",47,"East and Southeast Asia"
"Czechia","czechia","$47,700","2023",48,"Europe"
"Spain","spain","$46,400","2023",49,"Europe"
"Sint Maarten","sint-maarten","$46,400","2023",50,"Central America and the Caribbean"
"Japan","japan","$46,300","2023",51,"East and Southeast Asia"
"Virgin Islands","virgin-islands","$46,200","2021",52,"Central America and the Caribbean"
"Lithuania","lithuania","$46,200","2023",53,"Europe"
"Poland","poland","$44,100","2023",54,"Europe"
"Puerto Rico","puerto-rico","$43,000","2023",55,"Central America and the Caribbean"
"Aruba","aruba","$42,300","2022",56,"Central America and the Caribbean"
"Estonia","estonia","$42,000","2023",57,"Europe"
"Portugal","portugal","$41,700","2023",58,"Europe"
"Croatia","croatia","$41,300","2023",59,"Europe"
"Hungary","hungary","$40,600","2023",60,"Europe"
"Romania","romania","$40,500","2023",61,"Europe"
"Oman","oman","$40,000","2023",62,"Middle East"
"Russia","russia","$39,800","2023",63,"Central Asia"
"Slovakia","slovakia","$39,300","2023",64,"Europe"
"Latvia","latvia","$37,800","2023",65,"Europe"
"Greece","greece","$36,300","2023",66,"Europe"
"Panama","panama","$35,800","2023",67,"Central America and the Caribbean"
"New Caledonia","new-caledonia","$35,700","2021",68,"Australia and Oceania"
"Guam","guam","$35,600","2016",69,"Australia and Oceania"
"Kazakhstan","kazakhstan","$35,500","2023",70,"Central Asia"
"Turkey (Turkiye)","turkey-turkiye","$34,400","2023",71,"Middle East"
"British Virgin Islands","british-virgin-islands","$34,200","2017",72,"Central America and the Caribbean"
"Malaysia","malaysia","$33,600","2023",73,"East and Southeast Asia"
"Bulgaria","bulgaria","$33,300","2023",74,"Europe"
"Bahamas, The","bahamas-the","$32,000","2023",75,"Central America and the Caribbean"
"Uruguay","uruguay","$30,700","2023",76,"South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$30,100","2023",77,"Central America and the Caribbean"
