name,slug,value,date_of_information,ranking,region
"Tunisia","tunisia","4,445,000","2023",95,"Africa"
"Guinea","guinea","4,401,000","2023",96,"Africa"
"Hong Kong","hong-kong","3,825,000","2023",97,"East and Southeast Asia"
"Singapore","singapore","3,619,000","2023",98,"East and Southeast Asia"
"Paraguay","paraguay","3,469,000","2023",99,"South America"
"Serbia","serbia","3,333,000","2023",100,"Europe"
"Somalia","somalia","3,277,000","2023",101,"Africa"
"Nicaragua","nicaragua","3,264,000","2023",102,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","3,229,000","2023",103,"East and Southeast Asia"
"Denmark","denmark","3,180,000","2023",104,"Europe"
"Laos","laos","3,174,000","2023",105,"East and Southeast Asia"
"Togo","togo","3,166,000","2023",106,"Africa"
"Bulgaria","bulgaria","3,103,000","2023",107,"Europe"
"Kyrgyzstan","kyrgyzstan","3,069,000","2023",108,"Central Asia"
"New Zealand","new-zealand","3,068,000","2023",109,"Australia and Oceania"
"Jordan","jordan","3,063,000","2023",110,"Middle East"
"Norway","norway","3,009,000","2023",111,"Europe"
"Sierra Leone","sierra-leone","2,913,000","2023",112,"Africa"
"Finland","finland","2,880,000","2023",113,"Europe"
"El Salvador","el-salvador","2,870,000","2023",114,"Central America and the Caribbean"
"Slovakia","slovakia","2,823,000","2023",115,"Europe"
"Ireland","ireland","2,766,000","2023",116,"Europe"
"Tajikistan","tajikistan","2,677,000","2023",117,"Central Asia"
"Liberia","liberia","2,499,000","2023",118,"Africa"
"Kuwait","kuwait","2,463,000","2023",119,"Middle East"
"Congo, Republic of the","congo-republic-of-the","2,461,000","2023",120,"Africa"
"Costa Rica","costa-rica","2,408,000","2023",121,"Central America and the Caribbean"
"Libya","libya","2,398,000","2023",122,"Africa"
"Oman","oman","2,316,000","2023",123,"Middle East"
"Turkmenistan","turkmenistan","2,163,000","2023",124,"Central Asia"
"Central African Republic","central-african-republic","2,114,000","2023",125,"Africa"
"Panama","panama","2,096,000","2023",126,"Central America and the Caribbean"
"Qatar","qatar","2,035,000","2023",127,"Middle East"
"Georgia","georgia","1,853,000","2023",128,"Middle East"
"Eritrea","eritrea","1,800,000","2023",129,"Africa"
"Uruguay","uruguay","1,775,000","2023",130,"South America"
"Lebanon","lebanon","1,771,000","2023",131,"Middle East"
"Croatia","croatia","1,744,000","2023",132,"Europe"
"Jamaica","jamaica","1,559,000","2023",133,"Central America and the Caribbean"
"Lithuania","lithuania","1,510,000","2023",134,"Europe"
"Moldova","moldova","1,464,000","2023",135,"Europe"
"Mongolia","mongolia","1,403,000","2023",136,"East and Southeast Asia"
"Gaza Strip","gaza-strip","1,389,000","2022",137,"Middle East"
"West Bank","west-bank","1,389,000","2022",138,"Middle East"
"Albania","albania","1,388,000","2023",139,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1,369,000","2023",140,"Europe"
"Armenia","armenia","1,356,000","2023",141,"Middle East"
"Mauritania","mauritania","1,179,000","2023",142,"Africa"
"Botswana","botswana","1,170,000","2023",143,"Africa"
"Puerto Rico","puerto-rico","1,154,000","2023",144,"Central America and the Caribbean"
"Slovenia","slovenia","1,055,000","2023",145,"Europe"
