name,slug,%,date_of_information,ranking,region
"Iraq","iraq","-6.34","2023",202,"Middle East"
"Cuba","cuba","-6.73","2022",203,"Central America and the Caribbean"
"Angola","angola","-7.18","2023",204,"Africa"
"West Bank","west-bank","-8.57","2023",205,"Middle East"
"Gaza Strip","gaza-strip","-8.57","2023",206,"Middle East"
"Sri Lanka","sri-lanka","-9.23","2023",207,"South Asia"
"Estonia","estonia","-9.7","2023",208,"Europe"
"Central African Republic","central-african-republic","-10.28","2023",209,"Africa"
"Greenland","greenland","-10.63","2021",210,"North America"
"Ireland","ireland","-10.79","2023",211,"Europe"
"Sudan","sudan","-11.6","2023",212,"Africa"
"Moldova","moldova","-11.74","2023",213,"Europe"
"Equatorial Guinea","equatorial-guinea","-11.87","2023",214,"Africa"
"Syria","syria","-14.03","2021",215,"Middle East"
"Palau","palau","-19.56","2022",216,"Australia and Oceania"
"Montserrat","montserrat","-21","2017",217,"Central America and the Caribbean"
"Madagascar","madagascar","-33.28","2023",218,"Africa"
"South Sudan","south-sudan","-36.78","2015",219,"Africa"
"Timor-Leste","timor-leste","-46.25","2022",220,"East and Southeast Asia"
