name,slug,value,date_of_information,ranking,region
"Vanuatu","vanuatu","338","2023",54,"Australia and Oceania"
"Mongolia","mongolia","318","2023",55,"East and Southeast Asia"
"Azerbaijan","azerbaijan","312","2023",56,"Middle East"
"Finland","finland","282","2023",57,"Europe"
"Comoros","comoros","273","2023",58,"Africa"
"Barbados","barbados","272","2023",59,"Central America and the Caribbean"
"Venezuela","venezuela","272","2023",60,"South America"
"Tuvalu","tuvalu","270","2023",61,"Australia and Oceania"
"Isle of Man","isle-of-man","269","2023",62,"Europe"
"Korea, North","korea-north","264","2023",63,"East and Southeast Asia"
"Chile","chile","249","2023",64,"South America"
"Papua New Guinea","papua-new-guinea","205","2023",65,"East and Southeast Asia"
"Argentina","argentina","201","2023",66,"South America"
"Cameroon","cameroon","198","2023",67,"Africa"
"Belgium","belgium","198","2023",68,"Europe"
"Cambodia","cambodia","195","2023",69,"East and Southeast Asia"
"Cook Islands","cook-islands","190","2023",70,"Australia and Oceania"
"Bahrain","bahrain","184","2023",71,"Middle East"
"Kuwait","kuwait","176","2023",72,"Middle East"
"Ecuador","ecuador","154","2023",73,"South America"
