name,slug,%,date_of_information,ranking,region
"Antigua and Barbuda","antigua-and-barbuda","1.11","2024",83,"Central America and the Caribbean"
"Christmas Island","christmas-island","1.11","2014",84,"Australia and Oceania"
"Kuwait","kuwait","1.1","2024",85,"Middle East"
"Paraguay","paraguay","1.09","2024",86,"South America"
"Aruba","aruba","1.08","2024",87,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","1.07","2024",88,"Central America and the Caribbean"
"Suriname","suriname","1.07","2024",89,"South America"
"South Africa","south-africa","1.07","2024",90,"Africa"
"Kiribati","kiribati","1","2024",91,"Australia and Oceania"
"Bolivia","bolivia","1","2024",92,"South America"
"Cambodia","cambodia","0.99","2024",93,"East and Southeast Asia"
"Malaysia","malaysia","0.99","2024",94,"East and Southeast Asia"
"Cyprus","cyprus","0.95","2024",95,"Europe"
"New Zealand","new-zealand","0.95","2024",96,"Australia and Oceania"
"Nicaragua","nicaragua","0.95","2024",97,"Central America and the Caribbean"
"Bhutan","bhutan","0.95","2024",98,"South Asia"
"Ecuador","ecuador","0.94","2024",99,"South America"
"Ireland","ireland","0.93","2024",100,"Europe"
"Turkmenistan","turkmenistan","0.92","2024",101,"Central Asia"
"Vietnam","vietnam","0.89","2024",102,"East and Southeast Asia"
"Bangladesh","bangladesh","0.89","2024",103,"South Asia"
"Iran","iran","0.88","2024",104,"Middle East"
"Singapore","singapore","0.87","2024",105,"East and Southeast Asia"
"Kazakhstan","kazakhstan","0.86","2024",106,"Central Asia"
"Iceland","iceland","0.85","2024",107,"Europe"
"Morocco","morocco","0.84","2024",108,"Africa"
"Bahrain","bahrain","0.82","2024",109,"Middle East"
"Argentina","argentina","0.79","2024",110,"South America"
"Kyrgyzstan","kyrgyzstan","0.79","2024",111,"Central Asia"
"Tuvalu","tuvalu","0.78","2024",112,"Australia and Oceania"
"Mongolia","mongolia","0.78","2024",113,"East and Southeast Asia"
"Jordan","jordan","0.78","2024",114,"Middle East"
"Dominican Republic","dominican-republic","0.76","2024",115,"Central America and the Caribbean"
"Lesotho","lesotho","0.76","2024",116,"Africa"
"Switzerland","switzerland","0.75","2024",117,"Europe"
"Paracel Islands","paracel-islands","0.75","2021",118,"East and Southeast Asia"
"Costa Rica","costa-rica","0.74","2024",119,"Central America and the Caribbean"
"Indonesia","indonesia","0.73","2024",120,"East and Southeast Asia"
"India","india","0.72","2024",121,"South Asia"
"Mexico","mexico","0.72","2024",122,"North America"
"Burma","burma","0.71","2024",123,"East and Southeast Asia"
"Monaco","monaco","0.71","2024",124,"Europe"
"Canada","canada","0.71","2024",125,"North America"
"Qatar","qatar","0.71","2024",126,"Middle East"
"Eswatini","eswatini","0.7","2024",127,"Africa"
"Nepal","nepal","0.7","2024",128,"South Asia"
"Liechtenstein","liechtenstein","0.69","2024",129,"Europe"
"Kosovo","kosovo","0.68","2024",130,"Europe"
"United States","united-states","0.67","2024",131,"North America"
"Macau","macau","0.67","2024",132,"East and Southeast Asia"
"French Polynesia","french-polynesia","0.66","2024",133,"Australia and Oceania"
"Samoa","samoa","0.65","2024",134,"Australia and Oceania"
"Faroe Islands","faroe-islands","0.63","2024",135,"Europe"
"Chile","chile","0.61","2024",136,"South America"
"Lebanon","lebanon","0.61","2024",137,"Middle East"
"Brazil","brazil","0.61","2024",138,"South America"
"Turkey (Turkiye)","turkey-turkiye","0.61","2024",139,"Middle East"
