name,slug,value,date_of_information,ranking,region
"Lesotho","lesotho","5,060","2020",185,"Africa"
"Anguilla","anguilla","5,000","2018 ",186,"Central America and the Caribbean"
"Gambia, The","gambia-the","5,000","2020",187,"Africa"
"Tonga","tonga","5,000","2020",188,"Australia and Oceania"
"Eritrea","eritrea","5,000","2020",189,"Africa"
"Burundi","burundi","4,230","2020",190,"Africa"
"Cayman Islands","cayman-islands","3,200","2020",191,"Central America and the Caribbean"
"Bhutan","bhutan","3,189","2020",192,"South Asia"
"Guam","guam","3,000","2020",193,"Australia and Oceania"
"Vanuatu","vanuatu","2,785","2020",194,"Australia and Oceania"
"Cook Islands","cook-islands","2,700","2018",195,"Australia and Oceania"
"Montserrat","montserrat","2,700","2018",196,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","2,512","2020",197,"Africa"
"Guinea-Bissau","guinea-bissau","2,383","2020",198,"Africa"
"Samoa","samoa","1,692","2020",199,"Australia and Oceania"
"Palau","palau","1,224","2015",200,"Australia and Oceania"
"Comoros","comoros","1,066","2020",201,"Africa"
"Equatorial Guinea","equatorial-guinea","1,000","2020",202,"Africa"
"Guinea","guinea","1,000","2020",203,"Africa"
"Congo, Republic of the","congo-republic-of-the","1,000","2020",204,"Africa"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","1,000","2018",205,"Africa"
"Solomon Islands","solomon-islands","1,000","2020",206,"Australia and Oceania"
"Marshall Islands","marshall-islands","1,000","2020",207,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1,000","2020",208,"South America"
"Nauru","nauru","950","2010",209,"Australia and Oceania"
"Central African Republic","central-african-republic","499","2019",210,"Africa"
"Tuvalu","tuvalu","450","2017",211,"Australia and Oceania"
"South Sudan","south-sudan","200","2019",212,"Africa"
"Kiribati","kiribati","185","2020",213,"Australia and Oceania"
"Timor-Leste","timor-leste","75","2020",214,"East and Southeast Asia"
