name,slug,% (of GDP),date_of_information,ranking,region
"Sri Lanka","sri-lanka","7.28","2022",195,"South Asia"
"Zimbabwe","zimbabwe","7.21","2018",196,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","7.05","2020",197,"Australia and Oceania"
"Equatorial Guinea","equatorial-guinea","6.69","2022",198,"Africa"
"Congo, Republic of the","congo-republic-of-the","6.51","2021",199,"Africa"
"Burma","burma","6.02","2019",200,"East and Southeast Asia"
"Lebanon","lebanon","5.68","2021",201,"Middle East"
"Ethiopia","ethiopia","4.51","2022",202,"Africa"
"Syria","syria","4.2","2017",203,"Middle East"
"Nigeria","nigeria","3.4","2017",204,"Africa"
"Bahrain","bahrain","2.92","2020",205,"Middle East"
"Iraq","iraq","1.34","2019",206,"Middle East"
"United Arab Emirates","united-arab-emirates","0.57","2022",207,"Middle East"
"Somalia","somalia","0","2020",208,"Africa"
